VSA_EState4,MinEStateIndex,BCUT2D_MRHI,BCUT2D_LOGPHI,SMR_VSA10,MinAbsEStateIndex,MolLogP,FpDensityMorgan2,VSA_EState6,MaxAbsEStateIndex,FpDensityMorgan3,TPSA,Kappa3,MolMR,EState_VSA2,Chi0,BCUT2D_LOGPLOW,EState_VSA3,Chi2v,MolWt,BCUT2D_MWHI,PEOE_VSA1,BCUT2D_CHGLO,BalabanJ,MaxPartialCharge,SlogP_VSA2,qed,AvgIpc,MinPartialCharge,BCUT2D_MWLOW,Kappa2,Chi4v,Chi0v,Chi4n,NHOHCount,NumAromaticCarbocycles,VSA_EState3,Chi3v,Chi1v,BCUT2D_MRLOW,MinAbsPartialCharge,BCUT2D_CHGHI,PEOE_VSA7,VSA_EState5,MaxAbsPartialCharge,HeavyAtomMolWt,SlogP_VSA6,EState_VSA10,conductivity_class
0.9375,0.9375,5.302311349,1.924812575,0.0,0.9375,1.6679,1.75,9.602407407,5.099814815,2.125,0.0,0.885977034,34.377,0.0,5.819990956,-1.657695859,0.0,1.510362971,102.136,13.80225404,0.0,-1.819867116,3.049388908,0.024207756,0.0,0.43694442,1.903491193,-0.114665305,10.22491379,2.181847728,0.534377897,4.464101615,0.534377897,0.0,1.0,0.0,0.940455735,2.449358737,1.653105502,0.024207756,1.75921691,12.13273414,2.526944444,0.114665305,96.088,30.33183534,0.0,Class_0
0.0,1.377497953,6.605415881,2.593280752,129.2693811,1.377497953,12.1518,0.261904762,42.05138542,2.366552448,0.380952381,0.0,1.714528175,183.63,0.0,26.58432852,-1.994696136,0.0,12.61880215,522.606,14.32019924,0.0,-2.285102341,1.644980756,-4.76e-05,0.0,0.137212754,3.055287007,-0.060988711,9.733714304,5.932498034,9.873289452,22.39230485,9.873289452,0.0,13.0,33.94861458,11.12777675,14.96410162,1.808684914,4.76e-05,2.301311341,129.2693811,0.0,0.060988711,504.462,109.1946072,0.0,Class_1
0.0,-0.21797188,7.334867113,2.549946231,94.52722242,0.203266075,7.0239,0.606060606,9.255358718,10.22487793,0.878787879,121.38,2.305959348,135.0978,34.497071,22.75626588,-1.744721724,0.0,11.08640076,492.555,32.13598413,30.63916437,-2.020479067,1.870533494,0.1583585,30.63916437,0.126505433,3.405077133,-0.504244091,10.02625463,6.015916261,8.629211465,18.8216178,4.566673604,6.0,4.0,65.93812784,9.546872349,12.22997702,0.404759637,0.1583585,2.233805985,18.19910121,-1.263713864,0.504244091,480.459,36.39820241,30.63916437,Class_1
-2.213675149,-0.744276712,6.463331956,2.622207734,87.75395485,0.121300548,5.2424,0.333333333,0.0,10.77896056,0.444444444,214.4,1.433649826,122.4304,87.75395485,24.68483359,-1.82083063,0.0,8.830095834,488.316,16.40551038,58.52082291,-2.057825742,1.892564678,0.205433087,40.85221916,0.128587044,3.601517708,-0.501571997,9.928829396,4.813662732,5.827210217,17.21070193,5.827210217,8.0,5.0,87.2020889,7.250817015,10.42184754,0.387490517,0.205433087,2.372059149,0.0,-5.954213698,0.501571997,480.252,17.66860375,40.85221916,Class_2
2.13313933,-0.366293377,6.361108388,2.465797764,34.56901818,0.310050548,2.7977,0.677419355,7.80111804,10.03287548,0.967741935,161.7,2.177610952,109.7448,34.497071,21.60156534,-2.476958361,51.25937266,7.215855293,416.349,16.31021302,30.63916437,-2.379946238,1.761643258,0.159118383,53.04593346,0.307036046,2.719367039,-0.504242164,9.971448907,5.448033814,3.847433039,15.43623757,3.847433039,6.0,3.0,59.99771207,5.3158163,9.068203581,0.403022322,0.159118383,2.399953125,18.19910121,-1.257852381,0.504242164,404.253,51.37541661,30.63916437,Class_1
-1.104722222,-1.374444444,5.984066383,2.105756469,17.90791586,0.368240741,0.7812,0.866666667,2.699722222,10.56470522,1.0,111.9,2.305256473,47.3199,16.69035448,11.58542196,-2.065257257,0.0,2.714495799,210.141,16.37305107,15.31958218,-2.003555392,3.387380075,0.33523137,33.22749805,0.679088944,2.16326513,-0.477638687,10.05915428,3.78634806,0.998016605,7.298436465,0.998016605,3.0,1.0,25.83421769,1.673864427,3.765243637,0.069553734,0.33523137,2.137637823,18.19910121,-4.123333333,0.477638687,204.093,18.19910121,14.38361155,Class_0
3.996901861,-0.529952759,6.419480896,2.409051874,45.7759399,0.249927984,3.12088,0.852941176,6.160429894,13.51964463,1.088235294,132.12,2.285946306,122.3514,22.25380597,24.04915909,-2.436250123,44.92293296,8.52804544,454.446,16.18267148,0.0,-2.315524281,1.604047134,0.265611511,44.02344615,0.447419975,3.317266112,-0.280396407,9.85245357,6.471361799,5.029776558,18.73124862,5.029776558,2.0,2.0,14.4620503,6.520335444,10.62393176,0.087235242,0.265611511,2.419672695,51.96041707,-2.119811036,0.280396407,436.302,24.26546827,19.17814874,Class_0
4.549189342,0.590185185,5.869781569,2.158951696,33.36115731,0.590185185,2.7262,0.722222222,15.48399282,4.49170446,1.0,51.56,1.322348659,70.14,0.0,11.94938299,-1.935692775,11.29435444,4.071855861,232.246,14.98565519,0.0,-2.008564326,2.197069577,0.198536233,19.93591408,0.437298327,2.424428959,-0.223554902,10.26320565,3.43403111,2.012869734,9.407656536,2.012869734,0.0,2.0,0.0,2.868876174,5.69355492,1.256394327,0.198536233,2.048186308,24.26546827,0.0,0.223554902,224.182,48.53093655,0.0,Class_2
1.802209625,-0.381037461,5.664388691,2.310226101,0.0,0.300368271,2.433,0.433333333,7.493687484,9.842101515,0.566666667,121.38,3.355587229,107.2548,34.497071,21.4134846,-1.904603258,33.38070895,6.409518678,396.354,16.30996314,30.63916437,-2.051040331,2.083526208,0.158239217,30.63916437,0.200595045,2.699849609,-0.504229136,10.00505025,6.945502844,2.754985608,15.14738319,2.754985608,6.0,3.0,59.05260909,4.339660179,8.555742402,0.403120698,0.158239217,2.103735638,0.0,14.6514938,0.504229136,384.258,36.39820241,30.63916437,Class_0
57.1861238,0.332956007,6.09629993,2.409342461,89.63269594,0.332956007,3.5268,0.5,13.79534229,6.256392387,0.729166667,317.08,3.761436116,191.3526,0.0,33.17011496,-1.955248656,135.1841199,11.7165108,634.672,15.05908933,55.83729686,-2.039286665,1.519105374,0.164332247,39.87182817,0.106677355,3.736825786,-0.397042624,10.06150949,9.101371528,6.108756824,24.92088588,6.108756824,18.0,4.0,2.61110587,8.644860596,14.6114848,1.189929319,0.164332247,2.241956139,48.53093655,1.331824029,0.397042624,608.464,48.53093655,0.0,Class_1
