Smiles,conductivity,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA7,SMR_VSA1,SMR_VSA10,SMR_VSA7,SlogP_VSA2,SlogP_VSA6,TPSA,EState_VSA10,EState_VSA2,EState_VSA3,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,HeavyAtomCount,NHOHCount,NOCount,NumAromaticCarbocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,RingCount,MolLogP,MolMR,fr_benzene,conductivity_class
C#CC1=CC=C(C=C1)F,1.13E-09,12.15441043,12.15441043,0.255555556,-0.255555556,0.457852336,120.126,115.086,120.0375284,44,0.122794941,-0.207010991,0.207010991,0.122794941,1.222222222,1.777777778,2.222222222,19.14213818,10.21521799,1.855253133,-1.861760653,1.989294107,-1.730572793,5.308111243,0.627482531,1.900372628,3.056038396,227.7397024,6.690234444,4.764715819,4.764715819,4.325698503,2.549024576,2.549024576,1.651230592,1.651230592,1.010888337,1.010888337,0.546113658,0.546113658,-1.29,129.2253387,5.839701686,2.320364844,1.297733132,53.32604814,0,24.26546827,4.390415048,0,35.64614061,0,24.26546827,0,4.390415048,5.817220841,5.563451492,0,0.705,2.131944444,5.814537037,9,0,0,1,1,0,0,1,1,1.807,34.335,1,Class_0
C#CC1=CC=CC=C1,1.32E-09,5.099814815,5.099814815,0.9375,0.9375,0.43694442,102.136,96.088,102.0469502,38,0.024207756,-0.114665305,0.114665305,0.024207756,1.125,1.75,2.125,13.80225404,10.22491379,1.75921691,-1.819867116,1.924812575,-1.657695859,5.302311349,1.653105502,1.903491193,3.049388908,191.028337,5.819990956,4.464101615,4.464101615,3.931851653,2.449358737,2.449358737,1.510362971,1.510362971,0.940455735,0.940455735,0.534377897,0.534377897,-1.22,91.36757728,4.927492625,2.181847728,0.885977034,49.16051274,0,12.13273414,0,0,35.89528683,0,30.33183534,0,0,0,0,0,0.9375,2.526944444,9.602407407,8,0,0,1,1,0,0,0,1,1.6679,34.377,1,Class_0
C(=O)1/C(=C\O)/C(=O)/C(=C\NC2=NC(N)=NC(N)=N2)/C(=O)/C/1=C/O,2,12.00435248,12.00435248,0.149022109,-1.087222222,0.252980672,318.249,308.169,318.0712674,118,0.232863481,-0.514674141,0.514674141,0.232863481,0.782608696,1.217391304,1.652173913,16.2490208,9.842815694,2.38496462,-2.15010337,2.227924647,-2.318817675,6.511305286,-0.123900764,2.466224975,2.413859735,753.909339,17.14589989,11.34756419,11.34756419,10.88344781,5.952461809,5.952461809,4.150686638,4.150686638,2.741559285,2.741559285,1.720840353,1.720840353,-3.76,106304.1613,15.62549267,5.928376585,2.828522062,127.6028632,26.99717835,0,24.59666634,35.19475268,35.44342938,42.51472519,35.44342938,194.41,14.38361155,30.36917874,0,20.34550312,8.852450918,-3.685575607,0,23,7,11,0,1,11,5,11,2,-1.0635,76.8021,0,Class_2
C(C1=CC(O)=C(O)C=C1)1=C(C2=CC=C(O)C(O)=C2)N=C2C=C3N=C(C4=CC(O)=C(O)C=C4)C(C4=CC=C(O)C(O)=C4)=NC3=CC2=N1,0.0051,10.23318745,10.23318745,0.291729585,-0.376974482,0.086122817,614.57,592.394,614.1437637,226,0.157570124,-0.504259618,0.504259618,0.157570124,0.260869565,0.47826087,0.673913043,16.31355714,10.01381689,2.198661846,-2.140605087,2.403887413,-1.988295875,5.965047676,0.403653547,3.038744507,1.516243813,2051.503234,32.27492745,23.44946691,23.44946691,22.04975429,13.68454479,13.68454479,10.48525166,10.48525166,7.444769892,7.444769892,5.094592123,5.094592123,-6.82,23561194231,27.9797498,10.41690558,4.75397792,258.2555709,40.85221916,84.92913896,40.85221916,22.06680287,84.92913896,60.78813324,84.92913896,213.4,40.85221916,45.99609467,67.09632082,80.54013028,4.303346296,-2.811071953,20.00586111,46,8,12,5,7,12,8,12,7,5.8858,167.6964,5,Class_1
C(CN)N,2.93E-06,4.902777778,4.902777778,0.597222222,0.597222222,0.403495521,60.1,52.036,60.06874826,26,0.004613277,-0.329216191,0.329216191,0.004613277,1,1.25,1.25,14.62775903,10.7083591,1.540741515,-1.715708841,1.240213938,-2.114954397,4.255808479,0.976215347,1.370950594,1.974744871,6,3.414213562,2.568914101,2.568914101,1.914213562,1.316496581,1.316496581,0.577350269,0.577350269,0.166666667,0.166666667,0,0,-0.08,6.854752972,3.92,2.92,1.92,25.78397454,11.46733495,0,0,0,0,13.08951281,0,52.04,0,0,13.08951281,0,9.805555556,0,0,4,4,2,0,0,2,2,2,0,-1.0962,18.1088,0,Class_0
C(N)1=CC2C#CC3=CC(N)=C(N)C=C3C#CC3=C(C=C(N)C(N)=C3)C#CC=2C=C1N,0.28,5.981177591,5.981177591,0.422405045,0.422405045,0.198138364,390.45,372.306,390.1592946,144,0.056071728,-0.397025504,0.397025504,0.056071728,0.3,0.433333333,0.566666667,14.67798456,9.995114197,2.079919407,-2.068821881,2.243994666,-1.998960706,5.758950738,1.533174941,2.699849609,2.083526208,1142.244614,21.4134846,15.92820323,15.92820323,14.31257084,8.946152423,8.946152423,6.830127019,6.830127019,4.665063509,4.665063509,2.924038106,2.924038106,-4.86,5270041.641,18.5008473,6.945502844,3.355587229,173.7664334,34.40200486,36.39820241,0,34.12431765,69.77891136,0,36.39820241,156.12,0,0,67.5050266,0,42.22175154,18.59743134,10.18081711,30,12,6,3,3,6,6,6,4,1.6926,123.7404,3,Class_2
C(N1C2C=C(O)C(O)=CC=2C2C=C(O)C(O)=CC1=2)1=C2N=S=NC2=C(N2C3C=C(O)C(O)=CC=3C3C=C(O)C(O)=CC2=3)C2=NSN=C12,6.80E-06,10.5299122,10.5299122,0.333453851,-0.404338042,0.097923737,652.626,636.498,652.0471035,226,0.159051586,-0.504243464,0.504243464,0.159051586,0.413043478,0.695652174,1,32.14075998,10.10714431,2.310517995,-2.165360113,2.527166706,-2.012635851,7.576273795,0.404423938,3.801590131,1.479528198,2481.064498,31.7559014,22.69628907,24.32928223,22.1171013,13.37402126,14.83461474,10.72319488,11.78009025,8.236952463,9.293847839,6.253956065,7.35395136,-6.26,51536755835,26.1687071,8.677826152,3.22205751,261.497473,49.98641845,24.26546827,40.85221916,89.10264069,48.53093655,58.73349842,57.25633513,222.2,40.85221916,22.99804733,77.39464626,85.37364822,3.67047792,-3.153095357,10.79612819,46,8,14,5,8,15,8,16,9,6.2567,170.9524,5,Class_0
C(N1C2C=C(O)C(O)=CC=2C2C=C(O)C(O)=CC1=2)1=CC=C(N2C3C=C(O)C(O)=CC=3C3C=C(O)C(O)=CC2=3)C2=NSN=C12,5.80E-05,10.38254878,10.38254878,0.356595,-0.369751638,0.117785847,594.561,576.417,594.0845345,212,0.159051576,-0.504243464,0.504243464,0.159051576,0.395348837,0.651162791,0.930232558,32.14068368,10.12147884,2.236489317,-2.133088562,2.45248314,-1.998430902,6.996895983,0.404423938,3.64243937,1.489645063,2210.738812,29.89409408,21.54831413,22.36481071,20.6171013,12.72234289,13.45263964,10.168358,10.69680569,7.770115327,8.298563014,5.846001796,6.410121606,-6.08,9079558257,24.69503724,8.237425088,3.241203328,242.5078872,49.98641845,36.39820241,40.85221916,66.37328851,60.66367068,58.73349842,60.66367068,197.48,40.85221916,45.99609467,66.01987371,84.49231224,3.660885034,-2.905386551,14.43444672,43,8,12,5,8,13,8,13,8,5.5303,159.4114,5,Class_1
C(N1C2C=C(O)C(O)=CC=2C2C=C(O)C(O)=CC1=2)1=CC=C(N2C3C=C(O)C(O)=CC=3C3C=C(O)C(O)=CC2=3)C=C1,0.000107,10.23518536,10.23518536,0.329254203,-0.335165234,0.133344805,536.496,516.336,536.1219656,198,0.159051564,-0.504243464,0.504243464,0.159051564,0.3,0.5,0.725,16.3137594,10.12147884,2.197543806,-2.12246835,2.436122883,-1.970679101,6.121121289,0.404423938,3.362359289,1.491663017,1906.113388,28.03228676,20.40033919,20.40033919,19.1171013,12.07066453,12.07066453,9.619504182,9.619504182,7.281577809,7.281577809,5.432751819,5.432751819,-5.9,1509622928,23.23387355,7.806118497,3.098543914,223.4643835,49.98641845,48.53093655,40.85221916,43.61169973,72.79640482,49.98641845,72.79640482,171.7,40.85221916,45.99609467,54.98647228,83.61097626,3.309440296,-2.657677746,18.2246171,40,8,10,5,7,10,8,10,7,5.5256,148.4384,5,Class_1
C(O)1=C(N)C(O)=C(N)C(O)=C1N,4.20E-08,9.066851852,9.066851852,0.34462963,-0.570185185,0.177389167,171.156,162.084,171.0643911,66,0.169083752,-0.503769508,0.503769508,0.169083752,0.583333333,0.75,0.916666667,16.28315034,10.16304409,2.168081949,-2.094291693,2.468810133,-1.9747231,5.871347204,0.438300304,2.081571824,3.603567451,232.3030902,9.464101615,6.073691594,6.073691594,5.464101615,3.036845797,3.036845797,2.286845797,2.286845797,1.530721233,1.530721233,0.771711449,0.771711449,-1.98,416.3143648,8.119800399,2.260633977,0.815105762,67.83377647,32.52058462,0,15.31958218,17.06215882,0,15.31958218,0,138.75,0,17.06215882,0,27.20055556,14.51,-1.710555556,0,12,9,6,1,1,6,6,6,1,-0.45,44.6736,1,Class_0
