Feature,Importance
Chi4v,0.3424799507988208
SlogP_VSA2,0.30662821775420634
MinAbsEStateIndex,0.22642252276471583
Chi4n,0.2000026335366011
MinPartialCharge,0.19373276905087314
BCUT2D_MWHI,0.18383050724912722
AvgIpc,0.1711166202765103
MolLogP,0.1659538707404725
Kappa3,0.15892211304342815
MaxPartialCharge,0.15055549008914423
Kappa2,0.14779767411079275
NHOHCount,0.13108646013550304
PEOE_VSA7,0.12766768246338808
Chi3v,0.12332750390382896
BCUT2D_LOGPLOW,0.1163367714469974
FpDensityMorgan3,0.11505845850694552
EState_VSA10,0.11471194847292694
EState_VSA3,0.11281781589562616
VSA_EState5,0.11276251729985898
VSA_EState4,0.10951768863662002
VSA_EState6,0.10914442917658669
SMR_VSA10,0.10852745545085751
MinEStateIndex,0.10705971271424415
Chi0,0.10317951993287168
BCUT2D_MRLOW,0.0988411335107602
MolWt,0.09526565684319326
FpDensityMorgan2,0.08997666962514393
BalabanJ,0.08578836088556173
HeavyAtomMolWt,0.07528359625695603
BCUT2D_CHGLO,0.07475733817291479
BCUT2D_LOGPHI,0.07233131752699533
MaxAbsPartialCharge,0.07012912238505993
qed,0.06910500906619316
EState_VSA2,0.0652438955908785
NumAromaticCarbocycles,0.06281304758164093
BCUT2D_MRHI,0.05911488480898425
BCUT2D_MWLOW,0.05328262910650805
TPSA,0.05093680768451086
MaxAbsEStateIndex,0.04557302275930403
MolMR,0.039236878108473705
SlogP_VSA6,0.036115449707099116
Chi2v,0.035078314125419764
Chi1v,0.0333630277079432
PEOE_VSA1,0.03324637670844563
BCUT2D_CHGHI,0.030179057361543388
MinAbsPartialCharge,0.026943742488144864
VSA_EState3,0.025420348134361836
Chi0v,0.023338458463387907
